Episode,Reward,Violations,Unassigned_Positions,Non_Violated_Assignments
772,10110.0,31,7,1145
773,9770.0,33,4,1148
774,9670.0,38,3,1144
775,9970.0,30,4,1150
776,10820.0,23,1,1155
777,10290.0,30,3,1149
778,9750.0,34,3,1148
779,10260.0,37,1,1143
780,9720.0,37,7,1141
781,10070.0,27,6,1151
782,11100.0,25,0,1152
783,9250.0,37,3,1148
784,10440.0,27,1,1153
785,9920.0,28,9,1148
786,8790.0,45,4,1141
787,10360.0,38,2,1140
788,10600.0,27,2,1151
789,9590.0,39,0,1146
790,10090.0,30,0,1153
791,9880.0,34,4,1146
792,10410.0,23,2,1157
793,10630.0,20,4,1157
794,10280.0,29,1,1152
795,10740.0,22,2,1156
796,10940.0,19,1,1159
797,10140.0,29,3,1151
798,10710.0,28,2,1149
799,10630.0,25,0,1155
800,10440.0,35,1,1144
801,10830.0,23,1,1155
802,9870.0,29,5,1151
803,10090.0,32,3,1148
804,10540.0,24,1,1156
805,10160.0,28,4,1151
806,9810.0,38,3,1143
807,10060.0,33,3,1147
808,10680.0,24,1,1155
809,9930.0,32,4,1148
810,10460.0,33,0,1147
811,10220.0,32,2,1148
812,10990.0,16,2,1161
813,10020.0,29,4,1151
814,10470.0,27,2,1152
815,10600.0,27,1,1152
816,10570.0,29,0,1151
817,10430.0,28,1,1152
818,9880.0,35,2,1147
819,10210.0,26,2,1155
820,9880.0,34,1,1149
821,10530.0,24,2,1155
822,10540.0,31,2,1147
823,10460.0,27,0,1154
824,10350.0,32,2,1147
825,10480.0,21,5,1156
826,9940.0,32,4,1148
827,10830.0,31,0,1147
828,10810.0,24,0,1155
829,10760.0,20,0,1160
830,9650.0,31,2,1153
831,9760.0,28,7,1151
832,10200.0,33,1,1148
833,10830.0,25,2,1152
834,10040.0,27,2,1155
835,10020.0,28,3,1153
836,10390.0,25,6,1151
837,10210.0,27,4,1152
838,10430.0,29,4,1148
839,9890.0,33,1,1150
840,9920.0,33,5,1146
841,10320.0,28,3,1151
842,10310.0,28,2,1152
843,11040.0,20,0,1158
844,10500.0,25,2,1154
845,10520.0,24,1,1156
846,11290.0,16,1,1160
847,10870.0,23,2,1154
848,10230.0,25,2,1156
849,10440.0,35,1,1144
850,10780.0,26,2,1151
851,9910.0,32,3,1149
852,10590.0,28,1,1151
853,10380.0,25,3,1154
854,10580.0,28,2,1150
855,9950.0,39,3,1141
856,10470.0,21,3,1158
857,10420.0,29,0,1152
858,9830.0,31,7,1147
859,10730.0,28,0,1151
860,10120.0,30,1,1152
861,10790.0,19,2,1159
862,10860.0,28,1,1149
863,11100.0,18,0,1160
864,10100.0,24,2,1158
865,9530.0,37,3,1146
866,10100.0,31,1,1151
867,9710.0,35,2,1148
868,11160.0,22,0,1155
869,9990.0,28,1,1155
870,10180.0,28,3,1152
871,9490.0,40,4,1142
872,10300.0,21,2,1160
873,9190.0,44,1,1143
874,10520.0,25,2,1154
875,10120.0,30,3,1150
876,10270.0,28,1,1153
877,10250.0,30,0,1152
878,10460.0,21,2,1159
879,10700.0,30,0,1149
880,10700.0,17,3,1161
881,9740.0,34,3,1148
882,10160.0,29,3,1151
883,10300.0,29,4,1149
884,9530.0,31,6,1150
885,10390.0,25,3,1154
886,8710.0,43,6,1142
887,10880.0,21,0,1158
888,10540.0,24,4,1153
889,9520.0,36,1,1149
890,9620.0,40,1,1144
891,9730.0,34,1,1150
892,10540.0,24,3,1154
893,10220.0,25,2,1156
894,10460.0,27,3,1151
895,8770.0,41,9,1141
896,9540.0,37,4,1145
897,10110.0,30,2,1151
898,9610.0,28,7,1152
899,9650.0,32,4,1150
900,10250.0,30,2,1150
901,10840.0,24,2,1153
902,10010.0,35,3,1145
903,10200.0,26,1,1156
904,9970.0,36,1,1146
905,10290.0,29,3,1150
906,9660.0,38,4,1143
907,10400.0,30,0,1151
908,10230.0,31,1,1150
909,10930.0,20,3,1156
910,9790.0,33,4,1148
911,9850.0,36,3,1145
912,10270.0,36,0,1145
913,10340.0,28,4,1150
914,10650.0,26,2,1152
915,10320.0,27,1,1154
916,10820.0,18,2,1160
917,11000.0,22,1,1155
918,10150.0,29,3,1151
919,10400.0,31,1,1149
920,10250.0,25,4,1154
921,10140.0,30,3,1150
922,10810.0,25,1,1153
923,10200.0,26,2,1155
924,10070.0,31,3,1149
925,10960.0,19,3,1157
926,8890.0,46,2,1141
927,10530.0,32,2,1146
928,10360.0,32,3,1146
929,10440.0,22,3,1157
930,10890.0,21,2,1156
931,8860.0,41,2,1147
932,9160.0,41,4,1143
933,10490.0,27,2,1152
934,10130.0,29,2,1152
935,10640.0,26,1,1153
936,10580.0,23,4,1154
937,10520.0,25,4,1152
938,10710.0,30,1,1148
939,9560.0,36,4,1146
940,9580.0,40,1,1144
941,10720.0,29,1,1149
942,10590.0,29,2,1149
943,10270.0,24,4,1155
944,8550.0,46,0,1146
945,10330.0,27,4,1151
946,10190.0,20,4,1160
947,10550.0,23,3,1155
948,10120.0,36,0,1146
949,9430.0,42,3,1141
950,10770.0,20,2,1158
951,10290.0,22,4,1157
952,11030.0,21,2,1155
953,9810.0,31,2,1152
954,10730.0,22,1,1157
955,7910.0,59,4,1131
956,10920.0,27,0,1151
957,10300.0,22,4,1157
958,10060.0,32,2,1149
959,10560.0,30,2,1148
960,10540.0,24,2,1155
961,10050.0,27,4,1153
962,10020.0,33,2,1148
963,10040.0,27,3,1154
964,10250.0,31,1,1150
965,10890.0,21,2,1156
966,8730.0,46,0,1144
967,10740.0,28,1,1150
968,10150.0,29,3,1151
969,8720.0,40,2,1149
970,10260.0,35,0,1146
971,10910.0,21,2,1156
972,8990.0,41,3,1145
973,10690.0,25,3,1152
974,10720.0,23,3,1154
975,9850.0,35,2,1147
976,9110.0,44,4,1140
977,10270.0,30,3,1149
978,9980.0,37,2,1144
979,9860.0,30,6,1149
980,9880.0,35,4,1145
981,10010.0,29,3,1152
982,10750.0,28,1,1150
983,9710.0,36,4,1145
984,10180.0,33,2,1147
985,10170.0,28,3,1152
986,9360.0,38,2,1147
987,10510.0,26,2,1153
988,9920.0,34,4,1146
989,10180.0,34,1,1147
990,10490.0,26,2,1153
